,sona,zyra,yuumi
yasuo,50.0,50.6,47.2
ahri,51.6,50.1,48.9
yone,53.2,51.8,50.7
sylas,51.9,53.2,51.0
zed,53.6,53.0,51.3
malzahar,49.7,50.1,47.3
akali,52.8,52.4,51.0
mel,54.9,53.6,52.8
viktor,51.0,51.3,50.1
veigar,48.3,51.5,47.2
katarina,53.3,53.1,51.9
leblanc,54.8,54.3,51.9
lux,50.3,51.2,49.4
syndra,50.6,52.7,50.1
galio,50.0,49.8,47.9
fizz,50.9,51.9,49.9
diana,49.1,49.7,49.1
orianna,51.7,52.8,50.8
vladimir,52.8,51.4,51.8
vex,51.9,51.4,49.5
twistedfate,53.6,54.1,50.4
irelia,51.1,50.2,49.0
ekko,50.5,51.0,49.2
aurora,54.7,54.9,54.0
xerath,51.7,50.1,50.8
hwei,52.3,53.6,51.5
naafiri,50.7,48.3,46.5
lissandra,51.4,52.4,49.3
aurelionsol,50.4,50.6,49.4
azir,54.9,54.9,52.0
akshan,54.2,50.9,50.9
ryze,52.3,52.3,49.0
talon,52.9,53.1,51.6
zoe,54.6,56.3,52.1
chogath,49.4,50.1,47.5
annie,49.9,50.5,48.3
anivia,48.3,50.5,47.2
kassadin,51.0,50.6,50.5
qiyana,54.5,55.1,51.8
taliyah,50.7,54.4,48.1
cassiopeia,50.7,51.1,48.3
malphite,49.4,49.0,47.0
velkoz,50.3,51.0,48.3
swain,49.4,49.1,50.5
brand,50.0,53.1,50.9
pantheon,50.6,50.6,48.2
tristana,55.1,55.1,52.5
ziggs,52.5,53.9,52.5
smolder,54.0,55.8,55.9
jayce,54.1,52.8,51.5
